Timestamp;Usia ;Jenis Kelamin;Region (Provinsi); Apakah anda mengalami kesulitan dalam mencari sayur dan buah-buahan segar selama pandemi Covid-19?;Apakah anda mengetahui tentang e-commerce pertanian?;Bagaimana cara anda berbelanja sayur dan buah-buahan segar, sebelum pandemi?;Bagaimana cara anda berbelanja sayur dan buah-buahan segar, saat pandemi?;Sebelum pandemi, apakah anda sering berbelanja sayur dan buah-buahan segar lewat e-commerce pertanian?;Dalam kondisi pandemi, apakah anda sering berbelanja sayur dan buah-buahan segar lewat e-commerce pertanian?;Berikut ini, yang termasuk e-commerce pertanian yang sering anda gunakan?;Jenis produk apa yang anda beli di masa pandemi?;Apakah anda menyukai berbelanja melalui e-commerce pertanian?;Apakah anda merasa terbantu dengan e-commerce pertanian?;Jika anda lebih suka berbelanja di e-commere, alasan apa yang mendasari jawaban anda?
10/7/2021 20:05:18;21;Perempuan;Jawa Timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;-;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);3;3;Saya menyukai belanja secara konvensional
10/7/2021 20:07:08;21;Perempuan;Jawa Timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak pernah;Tidak pernah;3;3;Saya menyukai belanja secara konvensional
10/7/2021 20:08:17;44;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Sering (4 - 7 kali sebulan);Tanihub, Sayurbox;Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Akses informasi yang cepat dan mudah
10/7/2021 20:10:02;21;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tanihub, Sayurbox, HappyFresh;Sayur-sayuran, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Akses informasi yang cepat dan mudah
10/7/2021 20:10:59;21;Perempuan;Jawa Timir;Ya;Ya;konvensional;konvensional;Kadang-kadang (1-3 kali sebulan );Tidak sama sekali;blm pernah;Buah-buahan;3;3;Saya menyukai belanja secara konvensional
10/7/2021 20:11:58;21;Laki-laki;Sulawesi Tengah;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;-;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);3;4;Saya menyukai belanja secara konvensional
10/7/2021 20:12:43;21;Perempuan;Jatim;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Gak pernah menggunakan;Sayur-sayuran, Buah-buahan;3;3;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah
10/7/2021 20:14:09;22;Perempuan;Jawa Timur;Ya;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak ada;Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);3;3;Saya menyukai belanja secara konvensional
10/7/2021 20:15:26;20;Perempuan;Jawa Timur;Ya;Ya;konvensional;konvensional;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tanihub;Sayur-sayuran;4;4;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik
10/7/2021 20:24:19;21;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tanihub, Sayurbox;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);5;5;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 20:24:57;21;Laki-laki;jawa timur;Ya;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tanihub;Sayur-sayuran, Buah-buahan, Bumbu masakan langsung pakai (santan sachet, MSG, dll);3;4;Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung
10/7/2021 20:25:50;22;Perempuan;Jawa Timur;Ya;Ya;konvensional;konvensional;Kadang-kadang (1-3 kali sebulan );Kadang-kadang (1-3 kali sebulan );shopeefood;Buah-buahan;5;5;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 20:27:00;34;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Sering (4 - 7 kali sebulan);Sayurbox, Tukangsayur.co, HappyFresh;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah
10/7/2021 20:35:34;21;Laki-laki;Jawa Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tanihub;Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);4;4;Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Saya menyukai belanja secara konvensional
10/7/2021 20:38:50;22;Perempuan;Jawa TImur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;tidak pernah;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);3;4;Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung
10/7/2021 20:41:11;22;Perempuan;Jawa Timur;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Sayurbox, HappyFresh;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);5;5;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 20:43:31;21;Perempuan;;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak pernah;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll), Bumbu masakan langsung pakai (santan sachet, MSG, dll);2;3;Saya menyukai belanja secara konvensional
10/7/2021 20:49:28;21;Perempuan;Jawa timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak ada;Pakaian;4;5;Saya menyukai belanja secara konvensional
10/7/2021 20:49:31;21;Perempuan;Jawa Timur ;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;-;Sayur-sayuran, -;3;5;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 20:57:38;21;Perempuan;Jawa Timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;ga pernah pake tp pernah tau happy fresh;-;2;2;Saya menyukai belanja secara konvensional
10/7/2021 20:57:55;22;Laki-laki;Jawa Tengah;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Sayurbox;Sayur-sayuran, Buah-buahan;4;4;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah
10/7/2021 21:01:41;23;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tanihub;Sayur-sayuran, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Akses informasi yang cepat dan mudah
10/7/2021 21:18:07;21;Perempuan;Jawa Timur;Ya;Ya;konvensional;e-commerce;Tidak sama sekali;Kadang-kadang (1-3 kali sebulan );Tanihub;Sayur-sayuran, Buah-buahan, Bumbu masak dan rempah-rempah (bawang, lengkuas, kunyit, dll);4;4;Mengurangi biaya transaksi, Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
10/7/2021 21:29:02;21;Laki-laki;Jawa barat;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak ada;Sayur-sayuran, Buah-buahan;1;1;Saya menyukai belanja secara konvensional
10/7/2021 21:29:18;24;Laki-laki;Jawa Timur;Tidak;Ya;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;Tidak pakai;Tidak ada;3;3;Saya menyukai belanja secara konvensional
10/7/2021 21:29:42;21;Perempuan;Jawa Timur;Tidak;Tidak;konvensional;e-commerce;Tidak sama sekali;Tidak sama sekali;Lebih sering lewat hypermart;Lebih sering lewat hypermart;4;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung
10/7/2021 21:40:58;21;Perempuan;JAWA TIMUR;Tidak;Tidak;konvensional;konvensional;Tidak sama sekali;Tidak sama sekali;tidak pernah;pakaian;4;4;Saya menyukai belanja secara konvensional
10/7/2021 22:09:23;21;Laki-laki;Banten;Tidak;Tidak;konvensional;konvensional;Kadang-kadang (1-3 kali sebulan );Kadang-kadang (1-3 kali sebulan );Sayurbox, HappyFresh;Buah-buahan;3;4;Peningkatan kenyamanan - transaksi dapat dilakukan 24, kapan saja tanpa kontak fisik, Hemat waktu - Pelanggan dapat memilih dan membeli apapun secara langsung, Akses informasi yang cepat dan mudah, Dapat melihat dan memberikan komentar/ulasan tentang produk
